taxon_id,scientific_name,vernacular_name_ja,taxon_group_ja,redlist_kanagawa,redlist_national,ias_category,gbif_match_type,source_id,reason
athyrium viridescentipes,Athyrium viridescentipes,アオグキイヌワラビ,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
athyrium yakusimense,Athyrium yakusimense,ヤクシマタニイヌワラビ,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
atoportunus gustavi,Atoportunus gustavi,モモイロドウクツガザミ,甲殻類（海洋生物）,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
atrina japonica,Atrina japonica,ズベタイラギ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
atrina lischkeana,Atrina lischkeana,タイラギ（リシケタイラギ）,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
atriplex prostrata,Atriplex prostrata,ホコガタアカザ,植物,,,その他の総合対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
attacus atlas,Attacus atlas,ヨナグニサン,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
atyoida pilipes,Atyoida pilipes,ミナミオニヌマエビ,その他無脊椎動物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aulacopilum glaucum subsp. trichophyllum,Aulacopilum glaucum subsp. trichophyllum,アオシマヒメシワゴケ,蘚苔類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aureoboletus viscosus,Aureoboletus viscosus,アキノアシナガイグチ,菌類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
auriculastra duplicata,Auriculastra duplicata,ナラビオカミミガイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aurophora dochmia,Aurophora dochmia,ヒュウガサラタケ,菌類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
austriella corrugata,Austriella corrugata,シワツキガイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
austrohancockia amamiensis,Austrohancockia amamiensis,アマミヒラタヒシバッタ,昆虫類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
austruca lactea,Austruca lactea,ハクセンシオマネキ,その他無脊椎動物,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
austruca triangularis,Austruca triangularis,シモフリシオマネキ,甲殻類（海洋生物）,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
avicennia marina,Avicennia marina,ヒルギダマシ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
avrainvillea erecta,Avrainvillea erecta,コテングノハウチワ,藻類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
avrainvillea riukiuensis,Avrainvillea riukiuensis,テングノハウチワ,藻類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
awalycaeus abei,Awalycaeus abei,アツブタムシオイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
awalycaeus akiratadai,Awalycaeus akiratadai,タダアツブタムシオイ,貝類,,絶滅危惧I類（CR+EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
awalycaeus yanoshokoae,Awalycaeus yanoshokoae,サルダアツブタムシオイ,貝類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
awatrechus hygrobius,Awatrechus hygrobius,リュウノメクラチビゴミムシ,昆虫類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
axymyia japonica,Axymyia japonica,ヤマトクチキカ,昆虫類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
azolla japonica,Azolla japonica,オオアカウキクサ,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
azolla pinnata subsp. asiatica,Azolla pinnata subsp. asiatica,アカウキクサ,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
azorinus scheepmakeri,Azorinus scheepmakeri,オオズングリアゲマキ,貝類,,絶滅危惧I類（CR+EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
babylonia japonica,Babylonia japonica,バイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
babylonia kirana,Babylonia kirana,ウスイロバイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bacopa rotundifolia,Bacopa rotundifolia,ウキアゼナ（バコパ・ロトンディフォリア、カラカワクサ）,植物,,,その他の総合対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bacteridium vittatum,Bacteridium vittatum,イトカケゴウナ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
badimia pallidula,Badimia pallidula,ヨツハシゴケ,地衣類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
baeomyces sanguineus,Baeomyces sanguineus,チゾメセンニンゴケ,地衣類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
balanoglossusmisakiensis,Balanoglossusmisakiensis,ミサキギボシムシ,その他無脊椎動物（海洋生物）,,準絶滅危惧（NT）,,NONE,moe_redlist,GBIFへ照会したが一致しなかった（gbif_match_type=NONE）
balanophora nipponica,Balanophora nipponica,ミヤマツチトリモチ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
balanophora subcupularis,Balanophora subcupularis,アマクサツチトリモチ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
balanophora yakushimensis,Balanophora yakushimensis,ヤクシマツチトリモチ,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
balataea octomaculata,Balataea octomaculata,ヤホシホソマダラ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bangia atropurpurea,Bangia atropurpurea,タニウシケノリ,藻類,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bangiopsis subsimplex,Bangiopsis subsimplex,ニセウシケノリ,藻類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bapalmuia palmularis,Bapalmuia palmularis,ナガミイボゴケ,地衣類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
barbarea vulgaris,Barbarea vulgaris,ハルザキヤマガラシ（セイヨウヤマガラシ）,植物,,,その他の総合対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
barbastella leucomelas,Barbastella leucomelas,四国のチチブコウモリ,哺乳類,,絶滅のおそれのある地域個体群（LP）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
barbouriidae gen. sp.,Barbouriidae gen. sp.,ガマモエビ,甲殻類（海洋生物）,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
barnea japonica,Barnea japonica,ウミタケ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
barrimysia cumingii,Barrimysia cumingii,アケボノガイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
barrimysia siphonosomae,Barrimysia siphonosomae,ホシムシアケボノガイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
barringtonia asiatica,Barringtonia asiatica,ゴバンノアシ,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
barubria fuscorubra,Barubria fuscorubra,ツエミハシゴケ,地衣類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
baryrhynchus yaeyamensis,Baryrhynchus yaeyamensis,ヤエヤマミツギリゾウムシ,昆虫類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
basella rubra,Basella rubra,ツルムラサキ,植物,,,その他の総合対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
basterotia gouldi,Basterotia gouldi,イソカゼ,貝類,,絶滅危惧I類（CR+EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bathygobius peterophilus,Bathygobius peterophilus,シジミハゼ,魚類（海洋生物）,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bathygobius sp.,Bathygobius sp.,カワクモハゼ,汽水・淡水魚類,,絶滅危惧IA類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
batillaria multiformis,Batillaria multiformis,ウミニナ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
batillaria zonalis,Batillaria zonalis,イボウミニナ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
batrachospermum gelatinosum f. gelatinosum,Batrachospermum gelatinosum f. gelatinosum,カワモズク,藻類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
batrachospermum gelatinosum f. spermatoinvolucrum,Batrachospermum gelatinosum f. spermatoinvolucrum,ミョウテンジカワモズク,藻類,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
batrachospermum sporiferum,Batrachospermum sporiferum,アズキイロカワモズク,藻類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
batrachospermum tortuosum var. majus,Batrachospermum tortuosum var. majus,ヤエヤマカワモズク,藻類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
batracomorphus ogasawarensis,Batracomorphus ogasawarensis,オガサワラアオズキンヨコバイ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bazzania ovistipula,Bazzania ovistipula,カネマルムチゴケ,蘚苔類,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
begonia fenicis,Begonia fenicis,コウトウシュウカイドウ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
begonia formosana,Begonia formosana,マルヤマシュウカイドウ,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
beilschmiedia erythrophloia,Beilschmiedia erythrophloia,アカハダクスノキ,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys danjoensis,Bekkochlamys danjoensis,ダンジョベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys depressa,Bekkochlamys depressa,コウベヒラベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys dulcis,Bekkochlamys dulcis,オオヒラベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys kagaensis,Bekkochlamys kagaensis,ミドリベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys koshikijimana,Bekkochlamys koshikijimana,コシキオオヒラベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys kurodai,Bekkochlamys kurodai,ミヤコベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys kuroshimana,Bekkochlamys kuroshimana,クロシマベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys masakii,Bekkochlamys masakii,マサキベッコウ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys micrograpta,Bekkochlamys micrograpta,ヒラベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys nikkoensis,Bekkochlamys nikkoensis,ニッコウヒラベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys perfragilis,Bekkochlamys perfragilis,ベッコウマイマイ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys sakui,Bekkochlamys sakui,ヤクシマベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys septentrionalis,Bekkochlamys septentrionalis,カントウベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys serena,Bekkochlamys serena,スカシベッコウ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys shikokuensis,Bekkochlamys shikokuensis,シコクベッコウ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys sp.,Bekkochlamys sp.,オキナワテラマチベッコウ,貝類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys subrejecta,Bekkochlamys subrejecta,ツシマベッコウ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bekkochlamys teramachii,Bekkochlamys teramachii,テラマチベッコウ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
belobranchus belobranchus,Belobranchus belobranchus,エリトゲハゼ,汽水・淡水魚類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bembecinus anthracinus ogasawaraensis,Bembecinus anthracinus ogasawaraensis,オガサワラスナハキバチ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bembecinus hungaricus japonicus,Bembecinus hungaricus japonicus,ヤマトスナハキバチ,昆虫類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bembidion aestuarii,Bembidion aestuarii,キバネキバナガミズギワゴミムシ,昆虫類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bembidion nakamurai,Bembidion nakamurai,サツマキバナガミズギワゴミムシ,昆虫類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bembidion sumaoi,Bembidion sumaoi,オオキバナガミズギワゴミムシ,昆虫類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bembidion tsutsuii,Bembidion tsutsuii,ツツイキバナガミズギワゴミムシ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bembidion umi,Bembidion umi,ウミミズギワゴミムシ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bembix formosana,Bembix formosana,タイワンハナダカバチ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bembix niponica,Bembix niponica,ニッポンハナダカバチ,昆虫類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
benkara sinensis,Benkara sinensis,ヒジハリノキ,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bensonella plicidens,Bensonella plicidens,クチマガリスナガイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
berberis japonica,Berberis japonica,ヒイラギナンテン,植物,,,その他の総合対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
berteroella maximowiczii,Berteroella maximowiczii,ハナナズナ,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
betaeus gelasinifer,Betaeus gelasinifer,エクボテッポウエビモドキ,甲殻類（海洋生物）,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
betaphycus gelatinus,Betaphycus gelatinus,カタメンキリンサイ,藻類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
betula apoiensis,Betula apoiensis,アポイカンバ,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
betula chichibuensis,Betula chichibuensis,チチブミネバリ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
betula davurica var. davurica,Betula davurica var. davurica,ヤエガワカンバ,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
betula ovalifolia,Betula ovalifolia,ヤチカンバ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bidens cernua,Bidens cernua,ヤナギタウコギ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bidens frondosa,Bidens frondosa,アメリカセンダングサ,植物,,,その他の総合対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bidens pilosa var. radiata,Bidens pilosa var. radiata,タチアワユキセンダングサ（オオバナセンダングサ）,植物,,,その他の総合対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
birgus latro,Birgus latro,ヤシガニ,その他無脊椎動物,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bischofia javanica,Bischofia javanica,小笠原諸島・奄美諸島などのアカギ,植物,,,緊急対策外来種,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bistorta hayachinensis,Bistorta hayachinensis,ナンブトラノオ,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bithynia inabai,Bithynia inabai,イナバマメタニシ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bithynia moltschanovi,Bithynia moltschanovi,エゾマメタニシ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bittacus sinensis,Bittacus sinensis,ホシガガンボモドキ,昆虫類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
biwakovalvata biwaensis,Biwakovalvata biwaensis,ビワコミズシタダミ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
biwia yodoensis,Biwia yodoensis,ヨドゼゼラ,汽水・淡水魚類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
biwia zezera,Biwia zezera,ゼゼラ,汽水・淡水魚類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
blanfordia bensoni,Blanfordia bensoni,オカマメタニシ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
blanfordia japonica,Blanfordia japonica,イツマデガイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
blanfordia simplex,Blanfordia simplex,ヒメオカマメタニシ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
blaps japonensis,Blaps japonensis,ヤマトオサムシダマシ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
blastus cochinchinensis,Blastus cochinchinensis,ミヤマハシカンボク,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
blauneria leonardi,Blauneria leonardi,サカマキオカミミガイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bledius salsus,Bledius salsus,オオツノハネカクシ,昆虫類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bletilla striata var. striata,Bletilla striata var. striata,シラン,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
blidingia ramifera,Blidingia ramifera,カワアオノリ,藻類,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
blindiadelphus recurvatus,Blindiadelphus recurvatus,キヌシッポゴケ,蘚苔類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
blyxa alternifolia,Blyxa alternifolia,セトヤナギスブタ,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
blyxa aubertii,Blyxa aubertii,マルミスブタ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
blyxa echinosperma,Blyxa echinosperma,スブタ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
boehmeria formosana,Boehmeria formosana,タイワントリアシ,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
boehmeria yaeyamensis,Boehmeria yaeyamensis,ヤエヤマラセイタソウ,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
bolbometoponmuricatum,Bolbometoponmuricatum,カンムリブダイ,魚類（海洋生物）,,絶滅危惧IB 類（EN）,,NONE,moe_redlist,GBIFへ照会したが一致しなかった（gbif_match_type=NONE）
boleophthalmus pectinirostris,Boleophthalmus pectinirostris,ムツゴロウ,汽水・淡水魚類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
boletopsis grisea,Boletopsis grisea,クロカワ,菌類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
boletus edulis,Boletus edulis,ヤマドリタケ,菌類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
