分類,タイトル,概要,リンク,データ形式,提供元
全国基盤・API,自然環境調査目録,環境省が実施してきた自然環境調査の一覧と成果物への入口。過去調査の所在確認に有用,https://www.biodic.go.jp/mokuroku/mokuroku.html,"HTML,PDF",環境省生物多様性センター
全国基盤・API,生物多様性センター 基盤情報データリスト,植生・土地利用・海岸線など、生物多様性分析の基盤となるGISデータのダウンロード一覧,https://www.biodic.go.jp/category/kiban/datalist.html,"GIS,HTML",環境省生物多様性センター
全国基盤・API,モニタリングサイト1000,森林・里地里山など全国約1000カ所の長期生態系モニタリング。近隣サイトの経年データで丹沢のトレンドを比較できる,https://www.biodic.go.jp/moni1000/,"CSV,PDF,HTML",環境省生物多様性センター
全国基盤・API,自然環境保全基礎調査 動物分布調査,哺乳類・鳥類・両生爬虫類等の全国メッシュ分布調査。丹沢山系の生息種リストと確認メッシュを把握できる,https://www.biodic.go.jp/category/sizen/40.html,"GIS,PDF,HTML",環境省生物多様性センター
全国基盤・API,自然環境保全基礎調査 種の多様性調査,指標昆虫・植物相などの多様性評価調査。丹沢周辺の生物多様性指標データの出典として活用できる,https://www.biodic.go.jp/kiso/15/do_kiso4_tayou.html,"PDF,HTML",環境省生物多様性センター
全国基盤・API,第6回自然環境保全基礎調査 神奈川県報告書,丹沢山地の生物多様性保全を目的に維管束植物・哺乳類・鳥類等の種目録と基礎データをまとめた2005年報告書,https://www.biodic.go.jp/reports2/6th/todouhuken/kanagawa/h16_kanagawa.pdf,PDF,環境省生物多様性センター
全国基盤・API,環境GIS（環境展望台）,大気・水質・騒音等の環境モニタリング結果を地図可視化。相模川流域の水質・大気環境の広域比較に使える,https://tenbou.nies.go.jp/gis/,"GIS,HTML",国立環境研究所
全国基盤・API,大気汚染物質広域監視システム（そらまめ君）,全国の大気汚染常時監視局のリアルタイム・過去データを公開。相模原・厚木周辺の大気質データ取得に使える,https://soramame.env.go.jp/,"CSV,API,HTML",環境省
全国基盤・API,水環境総合情報サイト,公共用水域水質測定データを地図・検索で公開。相模川本川・支流の水質測定地点データを取得できる,https://water-pub.env.go.jp/water-pub/mizu-site/index.asp,"CSV,HTML",環境省
全国基盤・API,環境アセスメントデータベース EADAS,全国の環境影響評価事例を検索。相模川流域・丹沢周辺の開発事業に伴う環境調査事例の参照に有用,https://eadas.env.go.jp/,"データベース,PDF,HTML",環境省
全国基盤・API,生態系被害防止外来種リスト,生態系に被害を及ぼす外来種の全国リストと分布情報。相模川・丹沢での外来種対策検討の基礎資料,https://www.env.go.jp/nature/intro/2outline/iaslist.html,"Excel,PDF,HTML",環境省・農林水産省
全国基盤・API,重要里地里山 選定地分布（神奈川県）,生物多様性保全上重要な神奈川県内28か所の里地里山の分布図と一覧,https://www.env.go.jp/nature/satoyama/14_kanagawa/kanagawa.html,"HTML,PDF,画像",環境省
全国基盤・API,GBIF Occurrence Search,世界最大の生物分布DB。国・都道府県で絞り込み検索でき、相模川流域の生物出現記録をAPI経由で取得可能,https://www.gbif.org/occurrence/search,"API,CSV,データベース",GBIF
全国基盤・API,JBIF 日本生物多様性情報イニシアチブ,GBIF日本ノード。国内標本・観察データの提供機関一覧やチェックリストにアクセスできる,https://gbif.jp/,"データベース,PDF,HTML",JBIF
全国基盤・API,サイエンスミュージアムネット（S-Net）,全国100以上の博物館・大学の自然史標本情報を横断検索。丹沢周辺で採集された植物・昆虫標本の記録を検索できる,https://science-net.kahaku.go.jp/search/,"データベース,API,HTML",国立科学博物館
全国基盤・API,iNaturalist 神奈川県ページ,市民科学の生物観察記録プラットフォーム。神奈川県で絞り込んだ観察写真・位置データを閲覧・API取得できる,https://www.inaturalist.org/places/kanagawa,"データベース,API,HTML",iNaturalist
全国基盤・API,eBird 神奈川県ホットスポット,世界最大の野鳥観察DB。県内の探鳥スポットごとの出現記録を確認・取得できる,https://ebird.org/region/JP-14/hotspots?yr=curM,"データベース,API,HTML",Cornell Lab of Ornithology
全国基盤・API,Biome（いきものコレクションアプリ）,位置情報付きで生物を撮影投稿しAI判定するアプリ。丹沢・相模川流域の観察データも蓄積される市民科学基盤,https://biome.co.jp/products/biome-app/,"API,データベース,画像",株式会社バイオーム
全国基盤・API,YList 植物和名−学名インデックス,日本産維管束植物の和名・学名対照DB。丹沢の植物調査結果の学名照合・種同定チェックに使える,http://ylist.info/,"データベース,Excel,HTML",米倉浩司ほか
全国基盤・API,国土数値情報 土地利用細分メッシュ,全国100mメッシュの土地利用区分データ。相模川流域の森林・農地・市街地の土地利用変遷分析に直接使える,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L03-b.html,"GIS,CSV",国土交通省
全国基盤・API,国土数値情報 流域界・非集水域,全国の河川流域界ポリゴンデータ。相模川水系の流域境界を正確に切り出す際の基礎データになる,https://nlftp.mlit.go.jp/ksj/gmlold/datalist/gmlold_KsjTmplt-W12.html,GIS,国土交通省
全国基盤・API,国土数値情報 河川データ,全国の河川中心線・河川区域データ。相模川本川・支流のネットワーク解析やマップ作成に利用できる,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W05.html,GIS,国土交通省
全国基盤・API,国土数値情報 自然公園地域,国立・国定・都道府県立自然公園の区域・地種区分データ。丹沢大山国定公園の範囲をGISで扱える,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A10-v3_1.html,GIS,国土交通省
全国基盤・API,国土数値情報 鳥獣保護区,全国の鳥獣保護区・特別保護地区の区域データ。丹沢周辺の指定状況の把握・重ね合わせ解析に使える,https://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-A15.html,GIS,国土交通省
全国基盤・API,G空間情報センター,官公庁・自治体・研究機関の地理空間データを横断公開する国内最大級のGIS配信基盤。森林・河川・PLATEAU等を検索できる,https://front.geospatial.jp/data/,"GIS,CSV,画像",AIGID
全国基盤・API,G空間情報センター 神奈川県タグ検索,神奈川県に関連するCSV・オープンライセンスのデータセットを絞り込んだ検索結果ページ,https://www.geospatial.jp/ckan/dataset?tags=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C,"GIS,CSV",AIGID
全国基盤・API,地理院地図,標高・傾斜量・空中写真等を重ね合わせ表示でき、丹沢の地形分析のベースマップに使える標準Webマップ,https://maps.gsi.go.jp/,"GIS,画像,HTML",国土地理院
全国基盤・API,基盤地図情報 ダウンロードサービス,地形・水域・標高等の基本測量成果をメッシュ単位で無償ダウンロード。相模川流域の高精度標高解析に利用できる,https://service.gsi.go.jp/kiban/app/map/,GIS,国土地理院
全国基盤・API,地図・空中写真閲覧サービス,全国の空中写真・旧版地図をオンライン閲覧・ダウンロード。丹沢山地の過去〜現在の土地被覆変化を目視比較できる,https://service.gsi.go.jp/map-photos/,"画像,GIS,HTML",国土地理院
全国基盤・API,20万分の1日本シームレス地質図,全国の地質図をシームレス統合しWeb API・シェープファイルで提供。丹沢山地の地質構造の把握に有用,https://gbank.gsj.jp/seamless/use.html,"GIS,API,画像",産業技術総合研究所
全国基盤・API,e-Stat API機能,農林業センサス・国勢調査等の統計をAPIで取得。相模川流域市町村の人口・森林資源統計を分析に組み込める,https://www.e-stat.go.jp/api/,"API,CSV,Excel",総務省統計局
全国基盤・API,統計地理情報システム（地域メッシュ統計）,国勢調査等の統計を地域メッシュ・境界データで提供。流域単位での人口・土地利用の空間統計分析に使える,https://www.e-stat.go.jp/gis/statmap-search?type=2,"GIS,CSV",総務省統計局
全国基盤・API,RESAS API,地域経済分析システムのAPI窓口。相模原市・厚木市等の農林業・観光統計を取得し流域の社会経済分析に使える,https://opendata.resas-portal.go.jp/,"API,データベース,HTML",内閣府
全国基盤・API,Tellus 衛星データプラットフォーム,JAXA「だいち」ALOS/ALOS-2の光学・SAR・標高データを配信。丹沢の植生・地形変化を衛星画像で解析できる,https://www.tellusxdp.com/ja/catalog/data/,"画像,API,GIS",さくらインターネット／JAXA
全国基盤・API,林野庁 森林情報のデジタル化・オープンデータ化,航空・UAVレーザ計測による高精度森林資源データの公開状況を案内。丹沢周辺の森林蓄積データ入手の起点,https://www.rinya.maff.go.jp/j/keikaku/smartforest/smart_forestry.html,"GIS,PDF,HTML",林野庁
全国基盤・API,都道府県別 森林率・人工林率,全国都道府県の森林率・人工林率の集計データ。神奈川県の森林被覆状況を全国比較する基礎数値,https://www.rinya.maff.go.jp/j/keikaku/genkyou/index2.html,"PDF,Excel,HTML",林野庁
市民科学・研究,神奈川自然誌資料 バックナンバー,生命の星・地球博物館発行の査読誌（1980年創刊）。相模川・丹沢の動植物の新知見論文を全号無料公開,https://nh.kanagawa-museum.jp/www/contents/1599725880823/index.html,"PDF,HTML",神奈川県立生命の星・地球博物館
市民科学・研究,神奈川県の昆虫相の特性（創刊号論文）,高桑正敏による1980年の論文。丹沢・箱根・伊豆の昆虫相の違いと津久井地域の固有性など形成要因を分析,https://nh.kanagawa-museum.jp/www/pdf/nhr1_001_013takakuwa.pdf,PDF,神奈川県立生命の星・地球博物館
市民科学・研究,CiNii 神奈川自然誌資料（書誌検索）,神奈川自然誌資料の書誌情報と収録論文一覧。相模川・丹沢関連の一次論文を横断検索できる,https://ci.nii.ac.jp/ncid/AN00044375,"HTML,データベース",国立情報学研究所
市民科学・研究,神奈川昆虫談話会,1949年発足の在野研究団体。会報「神奈川虫報」バックナンバーPDFや県内昆虫相の継続的調査成果を公開,http://tkm.na.coocan.jp/kanakon.html,"HTML,PDF",神奈川昆虫談話会
市民科学・研究,神奈川県植物誌調査会,約250名の会員が県内の植物相を継続調査する団体。『神奈川県植物誌2018』電子版や会報を公開,https://flora-kanagawa2.sakura.ne.jp/,"HTML,PDF",神奈川県植物誌調査会
市民科学・研究,神奈川県植物誌2018 電子版,相模川流域・丹沢を含む県内全域の維管束植物相を網羅した大部の植物誌の電子版公開ページ,https://nh.kanagawa-museum.jp/www/contents/1607567661950/index.html,"PDF,HTML",神奈川県立生命の星・地球博物館
市民科学・研究,日本野鳥の会神奈川支部ブログ,相模川河口・中流域を含む県内各地の探鳥会日程と参加者による観察記録を継続発信,http://wbsjk.blogspot.com/,"HTML,画像",日本野鳥の会神奈川支部
市民科学・研究,'95身近な生きもの調査 調査のてびき,全国環境指標種調査の神奈川県版手引き。市民参加型モニタリング手法の原型を示す資料,https://www.biodic.go.jp/chm/dataset/f06cf06e708b006aaa605a5ca04f9c24,"PDF,データベース",環境省生物多様性センター
市民科学・研究,セミの抜け殻しらべ市民ネット,市民がセミの抜け殻を採集・同定し温暖化影響を追跡する継続的市民科学プロジェクト。県内地点も含む,https://semigara.org/,"HTML,PDF,CSV",セミの抜け殻しらべ市民ネット
市民科学・研究,iNaturalist 日本語コミュニティ,丹沢・相模川を含む全国の生物観察記録を集積する市民科学プラットフォームの日本語コミュニティ活動記録,https://www.inaturalist.org/projects/inaturalist-japanese-language-community/journal,"HTML,データベース,API,画像",iNaturalist
市民科学・研究,相模原市立博物館 研究報告 第20集,相模原地域の蛾類相・放散虫化石等を扱う自然史研究論文集。全論文がPDFでオープンアクセス公開,https://digital-sagamihara.jp/digital-archive/277001,PDF,相模原市立博物館
市民科学・研究,さがみはらデジタルアーカイブ,相模原市の歴史的写真・記録資料6000件超を公開。生物カテゴリーを含み相模川流域の記録も検索できる,https://digital-sagamihara.jp/digital-archive/,"画像,PDF,データベース",相模原市
気候・水・自治体データ,神奈川県 大気汚染常時監視 測定結果,県内の大気汚染常時監視局によるリアルタイム測定値を公開。光化学オキシダント・PM2.5等の速報データを閲覧できる,https://www.pref.kanagawa.jp/sys/taikikanshi/kanshi/realtime/index.html,"HTML,API",神奈川県環境科学センター
気候・水・自治体データ,神奈川県環境科学センター（総合案内）,大気・水質・騒音の常時監視や調査研究を担う県機関の総合案内。各種環境データへの入口となる,https://www.pref.kanagawa.jp/docs/b4f/index.html,HTML,神奈川県環境科学センター
気候・水・自治体データ,環境科学センター 研究報告,大気・水質・化学物質等に関する調査研究成果をまとめた年次研究報告書。PDFで各号を公開,https://www.pref.kanagawa.jp/docs/b4f/cyousakenkyu/seika/kenkyuhoukoku.html,"PDF,HTML",神奈川県環境科学センター
気候・水・自治体データ,環境科学センター 事業年報,センターの監視・調査・研究事業の実施結果をまとめた年報。大気・水質等のデータを含む,https://www.pref.kanagawa.jp/docs/b4f/center/nenpou.html,"PDF,HTML",神奈川県環境科学センター
気候・水・自治体データ,公共用水域の水質測定結果 速報値,県内河川・海域等の公共用水域における水質測定速報値を月次で公開,https://www.pref.kanagawa.jp/docs/b4f/suisitu/sokuho202508.html,"HTML,PDF",神奈川県
気候・水・自治体データ,地下水状況マップ（地中熱利用）,県内の地下水面深度・地下水流量・流速を地域別に示す地図群。地中熱利用検討のための基礎データ,https://www.pref.kanagawa.jp/docs/ap4/geothermal/chikasui.html,"GIS,画像,HTML",神奈川県
気候・水・自治体データ,秦野の地下水情報ダッシュボード,秦野盆地の地下水位・水量等を可視化するダッシュボード。3次元水循環モデリングに基づく情報発信ツール,https://www.city.hadano.kanagawa.jp/www/contents/1523331182020/index.html,"HTML,API",秦野市
気候・水・自治体データ,秦野盆地湧水群（名水百選）,環境省選定「名水百選」に選ばれた秦野盆地湧水群の解説と位置情報,https://water-pub.env.go.jp/water-pub/mizu-site/meisui/data/index.asp?info=25,HTML,環境省
気候・水・自治体データ,秦野市 湧水地の水質調査結果,市内の湧水地点における水質調査結果を公開。湧水マップと合わせて確認できる,https://www.city.hadano.kanagawa.jp/www/contents/1589455234392/index.html,"HTML,PDF",秦野市
気候・水・自治体データ,秦野市 地下水総合保全管理計画,秦野盆地の地下水保全・地盤沈下対策に関する市の基本計画。名水保全施策の根拠資料,https://www.city.hadano.kanagawa.jp/www/contents/1001000000694/index.html,"PDF,HTML",秦野市
気候・水・自治体データ,名水の里・秦野における地下水マネジメント,秦野市の地下水保全の取組をA-PLAT適応策データベースで紹介する事例ページ,https://adaptation-platform.nies.go.jp/data/measures/db-253.html,HTML,国立環境研究所A-PLAT
気候・水・自治体データ,気象庁 過去の気象データ検索,全国のアメダス・気象官署の日別・時別観測値を地点・期間指定でダウンロードできる検索システム,https://www.data.jma.go.jp/stats/etrn/index.php,"HTML,CSV",気象庁
気候・水・自治体データ,気象庁 メッシュ平年値図,気温・降水量等の気候値を格子単位で示す平年値図。丹沢周辺の地域気候把握に利用できる,https://www.data.jma.go.jp/stats/etrn/view/atlas.html,"HTML,GIS",気象庁
気候・水・自治体データ,神奈川県気候変動適応センター,県内の気候変動影響・適応策情報を提供する地域気候変動適応センターの公式ページ,https://www.pref.kanagawa.jp/docs/b4f/tekiou/top.html,HTML,神奈川県
気候・水・自治体データ,神奈川県 気候変動の将来予測WebGIS,将来の気温・降水量等の予測値を地図上で確認できるWebGIS。国立環境研究所A-PLATが提供,https://a-plat.nies.go.jp/webgis/kanagawa/index.html,"GIS,HTML",国立環境研究所A-PLAT
気候・水・自治体データ,神奈川県地球温暖化対策計画,2050年脱炭素社会実現に向けた県の地球温暖化対策計画本体および進行管理情報,https://www.pref.kanagawa.jp/docs/ap4/cnt/f417509/index.html,"PDF,HTML",神奈川県
気候・水・自治体データ,県内の温室効果ガス排出量推計結果,神奈川県内の部門別温室効果ガス排出量の年次推計データを公開,https://www.pref.kanagawa.jp/docs/ap4/cnt/f417443/index.html,"HTML,PDF,Excel",神奈川県
気候・水・自治体データ,温暖化対策計画の数値目標と進捗（オープンデータ）,温室効果ガス排出削減量・再エネ導入量の進捗を示すオープンデータセット,https://catalog.opendata.pref.kanagawa.jp/dataset/66faa02a7e6f139a1941891fc476a42f,"HTML,CSV",神奈川県
気候・水・自治体データ,地盤沈下調査結果（オープンデータ）,県内の地盤沈下観測結果を公開するオープンデータセット。秦野盆地等の地下水利用と関連する,https://catalog.opendata.pref.kanagawa.jp/dataset/2ed1147645f03e10c29758fbac6e283b,HTML,神奈川県
気候・水・自治体データ,海岸漂着物 組成調査（オープンデータ）,神奈川県沿岸の海岸漂着物の組成調査結果を公開するデータセット。相模川からの流出との関連分析に使える,https://catalog.opendata.pref.kanagawa.jp/dataset/bccdffc1fb4a6f931a1d00ea84290f08,"HTML,PDF",神奈川県
気候・水・自治体データ,神奈川県オープンデータカタログサイト,県が公開する各種オープンデータのポータル。環境・気象・水関連データセットを分野別に検索できる,https://catalog.opendata.pref.kanagawa.jp/dataset,"HTML,CSV,API",神奈川県
気候・水・自治体データ,オープンデータ「司法・安全・環境」分野一覧,環境分野の個別データセットを収録するカテゴリページ。水質事故・廃棄物・温暖化対策等を含む,https://catalog.opendata.pref.kanagawa.jp/group/gr003,HTML,神奈川県
気候・水・自治体データ,REPOS 再エネ導入ポテンシャルマップ,太陽光・風力・地熱等の再生可能エネルギー導入ポテンシャル推計マップ。市町村単位で閲覧できる,https://repos.env.go.jp/web/map/map_estimate_02,"GIS,API",環境省
気候・水・自治体データ,かながわの森林・林業（総合案内）,県内の森林・林業に関する統計、森林計画、施策情報をまとめた総合案内ページ,https://www.pref.kanagawa.jp/docs/xp8/shinrinsaisei/kanagawanosinrinringyou.html,"HTML,PDF",神奈川県
気候・水・自治体データ,神奈川地域森林計画,丹沢山地を含む神奈川地域の森林計画書。森林の土地利用区分や整備方針を記載,https://www.pref.kanagawa.jp/docs/xp8/kanagawatiikisinrinkeikaku.html,"PDF,HTML",神奈川県
気候・水・自治体データ,かながわ環境白書,県の環境行政の取組と環境の状況を毎年度まとめた白書。大気・水・自然環境等の章を含む,https://www.pref.kanagawa.jp/docs/ap4/cnt/f12144/index.html,"PDF,HTML",神奈川県
気候・水・自治体データ,かながわの環境アセスメント,県の環境影響評価制度の解説と、公表中の環境アセスメント関係図書一覧へのリンク,https://www.pref.kanagawa.jp/docs/pf7/cnt/f247/index.html,HTML,神奈川県
気候・水・自治体データ,光化学大気汚染の現状と対策（令和5年版）,光化学オキシダント注意報発令状況や大気汚染物質の経年変化をまとめた報告書,https://www.pref.kanagawa.jp/documents/4668/r5_genjyoutotaisaku_zentai.pdf,PDF,神奈川県
気候・水・自治体データ,神奈川県営水道の水質検査結果,県企業庁が運営する県営水道の水質検査結果一覧。水源林保全と一体の水道水源情報,https://www.pref.kanagawa.jp/docs/w6a/wqa/res2.html,"HTML,PDF",神奈川県企業庁
気候・水・自治体データ,相模原市「大気の状況」オープンデータ,市内7測定局の大気汚染常時監視結果（1時間値）を平成27年度から年度別CSVで公開,https://opendata.city.sagamihara.kanagawa.jp/dataset/taiki,CSV,相模原市
気候・水・自治体データ,相模原市オープンデータカタログサイト,相模原市が公開するオープンデータの総合ポータル。環境・住まい等カテゴリ別に検索できる,https://opendata.city.sagamihara.kanagawa.jp/,"HTML,CSV,API",相模原市
気候・水・自治体データ,厚木市環境基本計画,厚木市の環境施策の基本方向を定める計画書。大気・水・緑等の環境目標を含む,https://www.city.atsugi.kanagawa.jp/shiminbenri/environment/kankyou/keikaku/keikaku/p002473.html,"PDF,HTML",厚木市
気候・水・自治体データ,生物多様性あつぎ戦略,厚木市の生物多様性地域戦略。市内の自然環境・生態系保全の方針と行動計画を掲載,https://www.city.atsugi.kanagawa.jp/soshiki/kankyoseisakuka/2/3/2420.html,"PDF,HTML",厚木市
気候・水・自治体データ,平塚市環境基本計画（2026〜2035年度）,平塚市の新環境基本計画。大気・水・地球温暖化対策等の目標を定める,https://www.city.hiratsuka.kanagawa.jp/kankyo/page-c_02530.html,"PDF,HTML",平塚市
気候・水・自治体データ,平塚市の大気環境状況,市内5測定局のPM2.5等大気環境データを速報・日報・グラフで提供,https://hiratsukataiki.sakura.ne.jp/,"HTML,CSV,API",平塚市
気候・水・自治体データ,平塚市オープンデータライブラリ,平塚市が公開する各種オープンデータの一覧ページ。まちづくり・環境関連データセットを含む,https://www.city.hiratsuka.kanagawa.jp/keikaku/page-c_00951.html,"HTML,CSV",平塚市
気候・水・自治体データ,秦野市オープンデータライブラリ,秦野市の公共データを二次利用可能な形で公開するポータル。CSV形式のデータセットを提供,https://www.city.hadano.kanagawa.jp/shisei/gyoseiunei/1/9681.html,"HTML,CSV",秦野市
気候・水・自治体データ,愛川町環境基本計画,相模川・中津川沿いの愛川町における環境施策の基本計画書。自然環境・水環境の現況を記載,https://www.town.aikawa.kanagawa.jp/material/files/group/4/kankyokihonkeikaku.pdf,PDF,愛川町
気候・水・自治体データ,清川村環境基本計画,丹沢山系に位置する清川村の環境基本計画案とパブリックコメント実施結果,https://www.town.kiyokawa.kanagawa.jp/soshiki/machizukuri/kankyou/4126.html,"PDF,HTML",清川村
気候・水・自治体データ,BODIK オープンデータカタログ 神奈川県,BODIKが運用する神奈川県関連のオープンデータ一覧。県・市町村のデータを横断して探せる,https://odcs.bodik.jp/kanagawa/,"HTML,CSV",BODIK
気候・水・自治体データ,横浜市オープンデータポータル,横浜市の環境・緑地・河川等を含むオープンデータのポータル。下流域の都市環境データを補える,https://data.city.yokohama.lg.jp/,"HTML,CSV,API",横浜市
